model_year,make,model,body_style,transmission_type,vin,state,condition,mileage,color,interior,seller,market_value,selling_price,sale_date
2025,Kia,Sportage,SUV,Manual,KVSFCL3YJ61YJA5PY,OR,79,10949,Brown,Red,Financial Services Remarketing,27475,28906,2026-01-14
2021,Rivian,R1S,SUV,Automatic,ZHV3CBPNT7C7D1LG4,WA,83,54331,White,Tan,Ford Motor Credit Company,42190,39330,2026-02-09
2021,Lucid,Air,Sedan,Automatic,MATAMT6WGALCRXJH9,CO,74,49187,Red,White,Ford Motor Credit Company,41200,41386,2026-02-11
2018,Tesla,Model Y,SUV,Automatic,RGTHZ4ZCX796MJNDH,WA,56,96576,Green,White,Avis Corporation,9668,10001,2026-02-01
2016,Kaiser,M54,Truck,Manual,X8CPNXL12B1EEM4ZL,FL,61,95267,Brown,Tan,Shift,2545,2594,2025-12-05
2017,Honda,CR-V,SUV,Automatic,XBXV4YVZ15YJM6K01,MD,51,123115,Black,Tan,CarMax,4654,4285,2025-12-29
2019,Volkswagen,Tiguan,SUV,Automatic,CMKVGH29YZCMJDRXK,NY,56,91173,Gray,Gray,Nissan-Infiniti LT,6644,6935,2026-01-16
2016,Volkswagen,Passat,Sedan,Automatic,0KFWJFXUTTY0C9L5R,VA,62,108075,Brown,Red,Nissan-Infiniti LT,4724,5008,2025-12-26
2001,Volkswagen,Jetta,Sedan,Automatic,S4PLX6414MTHHBZT7,NM,13,395065,Gray,Gray,Nissan-Infiniti LT,204,200,2026-01-18
2012,Tesla,Model 3,Sedan,Automatic,4D7LL7CK2JJ5RDYY4,WA,61,205126,Red,Tan,CarMax,2651,2505,2026-02-28
2024,Volkswagen,Tiguan,SUV,Automatic,G7Z1MYLMPF1WKLFKV,AZ,83,24710,Gold,Tan,Sonic Automotive,25598,26501,2026-01-04
2020,Chrysler,Pacifica,Minivan,Manual,KBE61PKTZ585GF9RA,WI,95,67335,Silver,Black,AutoNation,20189,18749,2025-12-05
2026,Am General,M1097A,Truck,Automatic,2G0CUBPP764CC95YB,KY,89,180,Black,White,TDAF Remarketing,23207,24550,2026-01-21
2021,Rivian,R1S,SUV,Automatic,605HNJM8SCW1TBHZ4,IL,64,68912,Gold,Brown,CarMax,30954,32963,2026-01-03
2024,Subaru,Outback,Wagon,Automatic,F378U5Y2BTY72ESUR,AZ,89,27319,Green,White,Crankyanky Auto,28856,27502,2026-02-12
2023,Dodge,Ram 1500,Truck,Manual,G4F305V0YRT9W6W02,MN,90,28643,Gray,Red,Lithia Motors,35874,34419,2025-12-19
2024,Tesla,Model X,SUV,Automatic,K62V322L8LG4YTDEV,NV,73,22304,Silver,Black,Hertz Remarketing,65337,60694,2026-02-10
2009,Hyundai,Tucson,SUV,Automatic,64MMVB2KATRXGWAR8,PA,48,148090,Gray,White,Wells Fargo Dealer Services,2338,2469,2025-12-28
2025,Am General,M1097A,Truck,Automatic,MTPMNYYY23YB9WZ10,IN,100,11312,Beige,Tan,Shift,22182,22577,2026-02-08
2003,Honda,Accord,Sedan,Automatic,T7N07SZLBDMWR6E74,OH,16,145302,Silver,Tan,Hertz Remarketing,784,790,2025-12-20
2021,Lucid,Air,Sedan,Automatic,AY3EFTUF6T1KJRD5J,FL,83,69192,Blue,Black,Vroom,44349,42089,2025-12-29
2012,Tesla,Model X,SUV,Automatic,PJZJDRUCGPCYGEFNY,NM,57,216781,Beige,White,Shift,5354,5020,2026-02-06
2021,Rivian,R1T,Truck,Automatic,N9YMZN0TUC5D1X4P5,PA,68,53873,Gold,Tan,Ford Motor Credit Company,32445,33170,2026-01-21
2021,Kaiser,M54,Truck,Automatic,WHEZLSCHD08RPB24Y,NM,78,57553,Red,Red,Wells Fargo Dealer Services,7557,7990,2026-01-14
2012,Tesla,Model X,SUV,Automatic,609HYMMT9R9DY6TCD,MA,58,210180,Beige,Beige,Hendrick Automotive,5467,5223,2026-01-04
2021,Jeep,Wrangler,SUV,Automatic,WRSEEF36RFYKVUWE8,KS,68,58572,Beige,Black,DriveTime,18123,18720,2026-01-03
2015,Chevrolet,Blazer,SUV,Automatic,04AMPND51KV3GJY7Z,CO,62,92223,Silver,Gray,Penske Automotive,5693,5922,2025-12-22
2019,Chrysler,Pacifica,Minivan,Automatic,FGT5SCM1LTL5623EE,PA,69,66541,Gray,Brown,Carvana,12172,12441,2025-12-03
2026,Ford,Escape,SUV,Automatic,WWNSJX5EX4JBBJZK4,WI,73,319,Beige,White,Carvana,28937,30231,2025-12-10
2021,Chevrolet,Cruze,Sedan,Manual,GAJEEYXU71X86A8KF,CA,74,67272,Black,Beige,Crankyanky Auto,10214,10136,2025-12-27
2022,Kia,Optima,Sedan,Automatic,BMBAKJ04V2JU5KEF7,NV,68,63063,Gold,Red,Penske Automotive,12794,11955,2026-02-22
2019,Tesla,Model Y,SUV,Automatic,ZE1AJNRZX3JLGEHFW,CO,70,81838,Gold,Beige,Santander Consumer USA,14238,13505,2026-01-01
2024,Am General,M1097A,Truck,Automatic,CYWT3AH6FWKLXJ55D,IN,85,25317,Silver,Red,Nissan-Infiniti LT,15828,16098,2026-01-26
2013,Honda,Pilot,SUV,Automatic,ZZL6PR8C45RJYCJ7S,IN,42,161129,Silver,White,AutoNation,2880,2709,2025-12-09
2023,Rivian,R1T,Truck,Automatic,HXNYPMXESZTV0MS69,KS,94,36841,Gold,Tan,Lithia Motors,64940,69230,2026-01-09
2022,Chrysler,Pacifica,Minivan,Automatic,NRNG8JSUF41DNV72L,MO,72,36772,Blue,Gray,Crankyanky Auto,21824,22013,2026-01-22
2020,Dodge,Ram 1500,Truck,Manual,886ZSXPLH039TZ6BB,SC,74,53964,White,Gray,Carvana,19508,19182,2026-03-01
2008,Am General,M1097A,Truck,Automatic,XR9FDVKA79HFG7DH8,NJ,27,246518,Black,Gray,CarMax,586,566,2026-01-24
2015,Dodge,Charger,Sedan,Automatic,5Z2MGNU19J16HDTLP,FL,50,129856,Gold,Beige,Sonic Automotive,3860,3717,2025-12-25
2023,Dodge,Ram 2500,Truck,Automatic,UGPFHA1YS9ZGD50AD,NM,90,21497,Green,Beige,Shift,46963,47670,2026-01-15
2000,Am General,M1097A,Truck,Automatic,8CJ1ZWN108BBLTBY8,GA,13,240156,Blue,Tan,Penske Automotive,427,454,2025-12-07
2017,Volkswagen,Passat,Sedan,Automatic,L778H87AYLNR284EC,NJ,62,77576,Beige,Gray,Ford Motor Credit Company,6146,5681,2025-12-13
2019,BMW,3 Series,Sedan,Manual,KXWG629M20CAN4FVB,UT,56,111533,Green,Gray,Hendrick Automotive,9496,10047,2026-02-25
