store_id,name,url,street_address,city,state,zip_code,country,phone_number_1,phone_number_2,fax_1,fax_2,email_1,email_2,website,open_hours,latitude,longitude,facebook,twitter,instagram,pinterest,youtube
1990,Mayaguez Store,https://www.cymbalstore.com/store/2067/mayaguez-pr/details,975 Ave Hostos Ste 2100,Mayaguez,PR,680,PR,787-265-1099,,,,,,,,18.154276,-67.140516,,,,,
2267,Ware Supercenter,https://www.cymbalstore.com/store/2386/ware-ma/details,352 Palmer Rd,Ware,MA,1082,US,413-967-0040,,,,,,,"monday - friday : 06:00-24:00, saturday : 06:00-24:00, sunday : 06:00-24:00",42.237645,-72.27897,,,,,
4359,Ponce Supercenter,https://www.cymbalstore.com/store/5793/ponce-pr/details,1800 Carr# 14,Ponce,PR,780,PR,787-842-0420,,,,,,,,18.0446117,-66.577871,,,,,
1,Conway Supercenter,https://www.cymbalstore.com/store/5/conway-ar/details,1155 Hwy 65 North,Conway,AR,72032,US,501-329-0023,,,,,,,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",35.10866,-92.436905,,,,,
2,Sikeston Supercenter,https://www.cymbalstore.com/store/9/sikeston-mo/details,1303 S Main St,Sikeston,MO,63801,US,573-472-3020,,,,,,,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",36.857394,-89.586051,,,,,
3,Tahlequah Supercenter,https://www.cymbalstore.com/store/10/tahlequah-ok/details,2020 S Muskogee Ave,Tahlequah,OK,74464,US,918-456-8804,,,,,,,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",35.888765,-94.979859,,,,,
4,Mountain Home Supercenter,https://www.cymbalstore.com/store/11/mountain-home-ar/details,65 Wal Mart Dr,Mountain Home,AR,72653,US,870-492-9299,,,,,,,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",36.3549565,-92.3410256,,,,,
5,Claremore Supercenter,https://www.cymbalstore.com/store/12/claremore-ok/details,1500 S Lynn Riggs Blvd,Claremore,OK,74017,US,918-341-2765,,,,,,,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",36.293955,-95.627125,,,,,
6,Carthage Supercenter,https://www.cymbalstore.com/store/13/carthage-mo/details,2705 Grand Ave,Carthage,MO,64836,US,417-358-3000,,,,,,,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",37.141958,-94.313292,,,,,
7,Rogers Supercenter,https://www.cymbalstore.com/store/1/rogers-ar/details,2110 W Walnut St,Rogers,AR,72756,US,479-636-3222,,,,,,,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",36.3313,-94.149024,,,,,
8,Siloam Springs Supercenter,https://www.cymbalstore.com/store/4/siloam-springs-ar/details,2901 Highway 412 E,Siloam Springs,AR,72761,US,479-524-5101,,,,,,,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",36.183467,-94.512608,,,,,
9,Lebanon Supercenter,https://www.cymbalstore.com/store/14/lebanon-mo/details,1800 S Jefferson Ave,Lebanon,MO,65536,US,417-588-2268,,,,,,,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",37.663493,-92.645849,,,,,
10,West Plains Supercenter,https://www.cymbalstore.com/store/15/west-plains-mo/details,1310 Preacher Roe Blvd,West Plains,MO,65775,US,417-257-2800,,,,,,,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",36.714712,-91.870322,,,,,
11,Sherwood Supercenter,https://www.cymbalstore.com/store/7/sherwood-ar/details,9053 Highway 107,Sherwood,AR,72120,US,501-833-0972,,,,,,,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",34.838767,-92.236838,,,,,
12,Harrison Supercenter,https://www.cymbalstore.com/store/2/harrison-ar/details,161 N Walmart Dr,Harrison,AR,72601,US,870-365-8400,,,,,,,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",36.269042,-93.139074,,,,,
13,Commerce Supercenter,https://www.cymbalstore.com/store/3/commerce-ga/details,30983 Highway 441 S,Commerce,GA,30529,US,706-335-7563,,,,,,,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",34.247854,-83.456616,,,,,
14,Van Buren Supercenter,https://www.cymbalstore.com/store/16/van-buren-ar/details,2214 Fayetteville Rd,Van Buren,AR,72956,US,479-474-2314,,,,,,,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",35.469113,-94.353427,,,,,
15,Newport Supercenter,https://www.cymbalstore.com/store/18/newport-ar/details,1211 Highway 367 N,Newport,AR,72112,US,870-523-2500,,,,,,,"monday - friday : 06:00-23:00, saturday : 06:00-23:00, sunday : 06:00-23:00",35.618058,-91.254954,,,,,
16,Morrilton Supercenter,https://www.cymbalstore.com/store/8/morrilton-ar/details,1621 North Business 9,Morrilton,AR,72110,US,501-354-0290,,,,,,,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",35.168795,-92.726727,,,,,
17,Neosho Supercenter,https://www.cymbalstore.com/store/17/neosho-mo/details,3200 Lusk Dr,Neosho,MO,64850,US,417-451-5544,,,,,,,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",36.839161,-94.397282,,,,,
18,Saint Robert Supercenter,https://www.cymbalstore.com/store/21/saint-robert-mo/details,185 Saint Robert Blvd,Saint Robert,MO,65584,US,573-336-5103,,,,,,,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",37.825154,-92.152265,,,,,
19,Poplar Bluff Supercenter,https://www.cymbalstore.com/store/19/poplar-bluff-mo/details,333 S Westwood Blvd,Poplar Bluff,MO,63901,US,573-686-6420,,,,,,,"monday - friday : 06:00-24:00, saturday : 06:00-24:00, sunday : 06:00-24:00",36.755728,-90.411818,,,,,
20,Pryor Supercenter,https://www.cymbalstore.com/store/22/pryor-ok/details,4901 S Mill St,Pryor,OK,74361,US,918-825-6000,,,,,,,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",36.262476,-95.330024,,,,,
21,Clinton Supercenter,https://www.cymbalstore.com/store/20/clinton-mo/details,1712 E Ohio St,Clinton,MO,64735,US,660-885-5536,,,,,,,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",38.362772,-93.750585,,,,,
22,Jacksonville Supercenter,https://www.cymbalstore.com/store/24/jacksonville-ar/details,2000 John Harden Dr,Jacksonville,AR,72076,US,501-985-8731,,,,,,,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",34.885098,-92.11255,,,,,
23,Leavenworth Supercenter,https://www.cymbalstore.com/store/26/leavenworth-ks/details,5000 10th Ave,Leavenworth,KS,66048,US,913-250-0182,,,,,,,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",39.268764,-94.930386,,,,,
24,Ruston Supercenter,https://www.cymbalstore.com/store/23/ruston-la/details,1201 N Service Rd E,Ruston,LA,71270,US,318-251-1168,,,,,,,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",32.543518,-92.624043,,,,,
25,Mexico Supercenter,https://www.cymbalstore.com/store/25/mexico-mo/details,4820 S Clark St,Mexico,MO,65265,US,573-581-4500,,,,,,,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",39.120508,-91.890515,,,,,
26,Salem Supercenter,https://www.cymbalstore.com/store/27/salem-mo/details,1101 W Highway 32,Salem,MO,65560,US,573-729-6151,,,,,,,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",37.634119,-91.546043,,,,,
27,Miami Supercenter,https://www.cymbalstore.com/store/28/miami-ok/details,2415 N Main St,Miami,OK,74354,US,918-542-6654,,,,,,,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",36.904509,-94.880384,,,,,
28,Dexter Supercenter,https://www.cymbalstore.com/store/30/dexter-mo/details,2025 W Business Us Highway 60,Dexter,MO,63841,US,573-624-5514,,,,,,,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",36.801185,-89.992373,,,,,
